seed,file,name_presence,location_presence,rating_presence,price_presence,duration_presence,all5_presence
43,tourist_html/klook-0221.html,100,100,0,100,100,0
43,tourist_html/traveloka-0783.html,100,100,100,100,100,100
43,tourist_html/traveloka-0708.html,100,100,100,100,100,100
43,tourist_html/klook-1711.html,100,100,0,100,100,0
43,tourist_html/viator-0801.html,100,100,100,100,100,100
43,tourist_html/klook-0416.html,100,0,100,100,100,0
43,tourist_html/klook-1169.html,100,100,0,100,0,0
43,tourist_html/tourradar-1123.html,100,0,100,100,100,0
43,tourist_html/viator-0732.html,100,100,100,100,100,100
43,tourist_html/tourradar-1110.html,100,0,100,100,100,0
43,tourist_html/traveloka-0397.html,100,100,100,100,100,100
43,tourist_html/traveloka-1870.html,100,100,100,100,100,100
43,tourist_html/klook-0965.html,100,100,100,100,0,0
43,tourist_html/tourradar-1923.html,100,0,100,100,100,0
43,tourist_html/viator-1667.html,100,100,100,100,100,100
43,tourist_html/tourradar-1430.html,100,0,100,100,100,0
43,tourist_html/viator-0634.html,100,100,100,100,100,100
43,tourist_html/klook-0072.html,100,100,0,100,100,0
43,tourist_html/getyourguide-1093.html,100,100,100,100,0,0
43,tourist_html/viator-1814.html,100,100,100,100,100,100
43,tourist_html/getyourguide-1383.html,100,100,100,100,100,100
43,tourist_html/klook-0983.html,100,100,100,100,0,0
43,tourist_html/klook-1629.html,100,100,0,100,100,0
43,tourist_html/tourradar-0530.html,100,0,100,100,100,0
43,tourist_html/getyourguide-0258.html,100,100,100,100,100,100
43,tourist_html/traveloka-1104.html,100,100,100,100,100,100
43,tourist_html/getyourguide-0102.html,100,100,100,100,100,100
43,tourist_html/getyourguide-1843.html,100,100,100,100,100,100
43,tourist_html/getyourguide-1954.html,100,100,100,100,100,100
43,tourist_html/klook-1219.html,100,100,0,100,100,0
43,tourist_html/traveloka-0761.html,100,100,100,100,100,100
43,tourist_html/tourradar-1496.html,100,0,100,100,100,0
43,tourist_html/getyourguide-1063.html,100,100,100,100,0,0
43,tourist_html/tourradar-0865.html,100,0,100,100,100,0
43,tourist_html/tourradar-1418.html,100,0,100,100,100,0
43,tourist_html/getyourguide-0482.html,100,100,100,100,100,100
43,tourist_html/klook-0290.html,100,100,100,100,100,100
43,tourist_html/klook-1317.html,100,100,100,100,100,100
43,tourist_html/getyourguide-0210.html,100,100,100,100,100,100
43,tourist_html/getyourguide-0157.html,100,100,100,100,100,100
43,tourist_html/traveloka-1587.html,100,100,100,100,100,100
43,tourist_html/viator-1913.html,100,100,100,100,100,100
43,tourist_html/klook-1222.html,100,100,100,100,100,100
43,tourist_html/tourradar-0552.html,100,0,100,100,100,0
43,tourist_html/viator-1382.html,100,100,100,100,100,100
43,tourist_html/tourradar-2001.html,100,0,100,100,100,0
43,tourist_html/traveloka-0682.html,100,100,100,100,100,100
43,tourist_html/getyourguide-0242.html,100,100,100,100,100,100
43,tourist_html/getyourguide-0905.html,100,100,100,100,100,100
43,tourist_html/traveloka-1380.html,100,100,100,100,100,100
43,tourist_html/klook-1202.html,100,100,100,100,100,100
43,tourist_html/getyourguide-0650.html,100,100,100,100,100,100
43,tourist_html/traveloka-0762.html,100,100,100,100,100,100
43,tourist_html/viator-1395.html,100,100,100,100,100,100
43,tourist_html/traveloka-1225.html,100,100,100,100,100,100
43,tourist_html/getyourguide-0433.html,100,100,100,100,100,100
43,tourist_html/getyourguide-0541.html,100,100,100,100,100,100
43,tourist_html/traveloka-1607.html,100,100,100,100,100,100
43,tourist_html/getyourguide-0974.html,100,100,100,100,100,100
43,tourist_html/tourradar-1371.html,100,100,100,100,100,100
43,tourist_html/viator-1697.html,100,100,100,100,100,100
43,tourist_html/klook-1837.html,100,100,0,100,100,0
43,tourist_html/traveloka-0090.html,100,100,100,100,100,100
