seed,file,name_presence,price_presence,material_presence,color_presence,size_presence,all5_presence
43,fashion_html/zara-1118.html,100,100,100,100,0,0
43,fashion_html/hm-0479.html,100,100,100,100,0,0
43,fashion_html/24s-0295.html,100,100,100,100,100,100
43,fashion_html/24s-1072.html,100,100,100,100,100,100
43,fashion_html/zara-1602.html,100,100,100,100,100,100
43,fashion_html/zara-1405.html,100,100,100,100,0,0
43,fashion_html/hm-0820.html,100,100,100,100,100,100
43,fashion_html/24s-0075.html,100,100,100,100,100,100
43,fashion_html/hm-0621.html,100,100,100,100,0,0
43,fashion_html/flannels-1400.html,100,100,0,100,100,0
43,fashion_html/zara-1476.html,100,100,100,100,0,0
43,fashion_html/zara-1991.html,100,100,100,100,0,0
43,fashion_html/hm-0777.html,100,100,100,100,100,100
43,fashion_html/24s-0525.html,100,100,100,100,100,100
43,fashion_html/farfetch-1792.html,100,100,100,100,100,100
43,fashion_html/flannels-2192.html,100,100,0,100,100,0
43,fashion_html/hm-1009.html,100,100,100,100,0,0
43,fashion_html/farfetch-2137.html,100,100,100,100,100,100
43,fashion_html/flannels-0001.html,100,100,100,100,100,100
43,fashion_html/hm-0818.html,100,100,100,100,100,100
43,fashion_html/farfetch-1396.html,100,100,100,100,100,100
43,fashion_html/zara-0491.html,100,100,100,100,0,0
43,fashion_html/zara-0215.html,100,100,100,100,100,100
43,fashion_html/24s-1212.html,100,100,100,100,100,100
43,fashion_html/flannels-0445.html,100,100,0,100,100,0
43,fashion_html/flannels-1570.html,100,100,100,100,100,100
43,fashion_html/flannels-1917.html,100,100,0,100,100,0
43,fashion_html/24s-0855.html,100,100,100,100,100,100
43,fashion_html/farfetch-1071.html,100,100,100,100,100,100
43,fashion_html/24s-1258.html,100,100,100,100,100,100
43,fashion_html/24s-2145.html,100,100,100,100,100,100
43,fashion_html/hm-0599.html,100,100,100,100,0,0
43,fashion_html/flannels-1867.html,100,100,0,100,100,0
43,fashion_html/flannels-0799.html,100,100,100,100,100,100
43,fashion_html/flannels-1229.html,100,100,0,100,100,0
43,fashion_html/24s-0446.html,100,100,100,100,100,100
43,fashion_html/24s-2084.html,100,100,100,100,100,100
43,fashion_html/flannels-1626.html,100,100,0,100,100,0
43,fashion_html/zara-0416.html,100,100,100,100,0,0
43,fashion_html/zara-1375.html,100,100,100,100,100,100
43,fashion_html/24s-2004.html,100,100,100,100,100,100
43,fashion_html/hm-0019.html,100,100,100,100,100,100
43,fashion_html/flannels-1849.html,100,100,100,100,100,100
43,fashion_html/zara-1416.html,100,100,100,100,0,0
43,fashion_html/24s-2005.html,100,100,100,100,100,100
43,fashion_html/zara-0335.html,100,100,100,100,0,0
43,fashion_html/24s-1434.html,100,100,100,100,100,100
43,fashion_html/flannels-2084.html,100,100,100,100,100,100
43,fashion_html/hm-0076.html,100,100,100,100,100,100
43,fashion_html/hm-0992.html,100,100,100,100,100,100
43,fashion_html/24s-2260.html,100,100,100,100,100,100
43,fashion_html/farfetch-0552.html,100,100,100,100,100,100
43,fashion_html/zara-1295.html,100,100,100,100,0,0
43,fashion_html/zara-0301.html,100,100,100,100,0,0
43,fashion_html/zara-0675.html,100,100,100,100,100,100
43,fashion_html/hm-0091.html,100,100,100,100,100,100
43,fashion_html/zara-0134.html,100,100,100,100,100,100
43,fashion_html/farfetch-1822.html,100,100,100,0,100,0
43,fashion_html/hm-1765.html,100,100,100,100,0,0
43,fashion_html/zara-0700.html,100,100,100,100,100,100
43,fashion_html/zara-1027.html,100,100,100,100,0,0
43,fashion_html/flannels-2116.html,100,100,100,100,100,100
43,fashion_html/zara-1736.html,100,100,100,100,0,0
43,fashion_html/flannels-1843.html,100,100,0,100,100,0
43,fashion_html/zara-0158.html,100,100,100,100,0,0
43,fashion_html/farfetch-2125.html,100,100,100,100,100,100
43,fashion_html/hm-0554.html,100,0,100,100,0,0
43,fashion_html/hm-0596.html,100,100,100,100,0,0
43,fashion_html/farfetch-1153.html,100,100,100,100,100,100
43,fashion_html/24s-0240.html,100,100,100,100,100,100
