seed,file,name_presence,duration_presence,stops_presence,price_presence,departure_time_presence,arrival_time_presence,airline_presence,all7_presence
42,flights_html/kayak-1684.html,100,100,100,100,100,100,100,100
42,flights_html/gotogate-1495.html,100,100,100,100,100,100,100,100
42,flights_html/kayak-1380.html,0,100,100,100,100,0,100,0
42,flights_html/tripadvisor-1312.html,100,100,100,100,100,100,100,100
42,flights_html/kayak-1899.html,100,100,100,100,100,100,100,100
42,flights_html/farecompare-1751.html,100,100,100,100,100,100,100,100
42,flights_html/farecompare-0722.html,100,100,100,100,100,100,100,100
42,flights_html/tripadvisor-0781.html,100,100,100,100,100,100,100,100
42,flights_html/cheapair-1932.html,100,100,100,100,100,100,100,100
42,flights_html/tripadvisor-1433.html,100,100,100,100,100,100,100,100
42,flights_html/farecompare-1413.html,100,100,100,100,100,100,100,100
42,flights_html/tripadvisor-0837.html,100,100,100,100,100,100,100,100
42,flights_html/cheapair-1356.html,100,100,100,100,100,100,100,100
42,flights_html/gotogate-0341.html,100,100,100,100,100,100,100,100
42,flights_html/kayak-1627.html,0,100,100,100,100,100,100,0
42,flights_html/farecompare-0837.html,100,100,100,100,100,100,100,100
42,flights_html/gotogate-0055.html,100,100,100,100,100,100,100,100
42,flights_html/tripadvisor-0586.html,100,100,100,0,100,100,100,0
42,flights_html/tripadvisor-0765.html,100,100,100,100,100,100,100,100
42,flights_html/kayak-1529.html,100,100,100,100,100,100,100,100
42,flights_html/cheapair-1867.html,100,100,100,100,100,100,100,100
42,flights_html/kayak-1979.html,100,100,100,100,100,100,100,100
42,flights_html/farecompare-1102.html,100,100,100,100,100,100,100,100
42,flights_html/kayak-0537.html,100,100,100,100,100,100,100,100
42,flights_html/cheapair-0069.html,100,100,100,100,100,100,100,100
42,flights_html/tripadvisor-1219.html,100,100,100,100,100,100,100,100
42,flights_html/cheapair-0186.html,100,100,100,100,100,100,100,100
42,flights_html/gotogate-0440.html,100,100,100,100,100,100,100,100
42,flights_html/cheapair-0241.html,100,100,100,100,100,100,100,100
42,flights_html/kayak-1084.html,100,100,100,100,100,100,100,100
42,flights_html/kayak-0146.html,100,100,100,100,100,100,100,100
42,flights_html/tripadvisor-1815.html,100,100,100,100,100,100,100,100
42,flights_html/gotogate-1380.html,100,100,100,100,100,100,100,100
42,flights_html/kayak-1553.html,0,100,100,100,100,100,100,0
42,flights_html/gotogate-1923.html,100,100,100,100,100,100,100,100
42,flights_html/cheapair-0386.html,100,100,100,100,100,100,100,100
42,flights_html/tripadvisor-0344.html,100,100,100,100,100,100,100,100
42,flights_html/farecompare-2027.html,100,100,100,100,100,100,100,100
42,flights_html/gotogate-0986.html,100,100,100,100,100,100,100,100
42,flights_html/kayak-1223.html,100,100,100,100,100,100,100,100
42,flights_html/kayak-1301.html,100,100,100,100,100,100,100,100
42,flights_html/gotogate-1219.html,100,100,100,100,100,100,100,100
42,flights_html/kayak-0586.html,100,100,100,100,100,100,100,100
42,flights_html/cheapair-0079.html,100,100,100,100,100,100,100,100
42,flights_html/gotogate-2030.html,100,100,100,100,100,100,100,100
42,flights_html/kayak-1011.html,100,100,100,100,100,100,100,100
42,flights_html/cheapair-1020.html,100,100,100,100,100,0,100,0
42,flights_html/kayak-0529.html,100,100,100,100,100,100,100,100
42,flights_html/gotogate-0623.html,100,100,100,100,100,100,100,100
42,flights_html/cheapair-1172.html,100,100,100,100,100,0,100,0
42,flights_html/kayak-1316.html,100,100,100,100,100,100,100,100
42,flights_html/farecompare-0709.html,100,100,100,100,100,100,100,100
42,flights_html/farecompare-1934.html,100,100,100,100,100,100,100,100
42,flights_html/gotogate-2173.html,100,100,100,100,100,100,100,100
42,flights_html/tripadvisor-1438.html,100,100,100,100,100,100,100,100
42,flights_html/tripadvisor-1150.html,100,100,100,100,100,100,100,100
42,flights_html/tripadvisor-1892.html,100,100,100,100,100,100,100,100
42,flights_html/kayak-1446.html,100,100,100,100,100,100,100,100
42,flights_html/kayak-1585.html,100,100,100,100,100,100,100,100
42,flights_html/gotogate-0504.html,100,100,100,100,100,100,100,100
42,flights_html/gotogate-1653.html,100,100,100,100,100,100,100,100
42,flights_html/farecompare-2067.html,100,100,100,100,100,100,100,100
42,flights_html/tripadvisor-1962.html,100,100,100,100,100,100,100,100
42,flights_html/kayak-0723.html,100,100,100,100,100,100,100,100
42,flights_html/farecompare-1195.html,100,100,100,100,100,100,100,100
42,flights_html/tripadvisor-0241.html,100,100,100,100,100,100,100,100
42,flights_html/cheapair-1227.html,100,100,100,100,100,0,100,0
42,flights_html/cheapair-0135.html,100,100,100,100,100,100,100,100
42,flights_html/kayak-0945.html,100,100,100,100,100,100,100,100
42,flights_html/cheapair-0249.html,100,100,100,100,100,100,100,100
42,flights_html/farecompare-0940.html,100,100,100,100,100,100,100,100
42,flights_html/gotogate-1455.html,100,100,100,100,100,100,100,100
42,flights_html/tripadvisor-1336.html,100,100,100,100,100,100,100,100
42,flights_html/farecompare-1094.html,100,100,100,100,100,100,100,100
42,flights_html/farecompare-0396.html,100,100,100,100,100,100,100,100
42,flights_html/farecompare-0485.html,100,100,100,100,100,100,0,0
42,flights_html/kayak-0680.html,100,100,100,100,100,0,100,0
42,flights_html/cheapair-0451.html,100,100,100,100,100,100,100,100
42,flights_html/kayak-1493.html,100,100,100,100,100,100,100,100
42,flights_html/tripadvisor-0847.html,100,100,100,100,100,100,100,100
42,flights_html/kayak-1101.html,0,100,100,100,100,0,100,0
42,flights_html/farecompare-1238.html,100,100,100,100,100,100,100,100
42,flights_html/gotogate-1119.html,100,100,100,100,100,100,100,100
42,flights_html/farecompare-0414.html,100,100,100,100,100,100,100,100
42,flights_html/farecompare-0638.html,100,100,100,100,100,100,100,100
42,flights_html/cheapair-0657.html,100,100,100,100,100,0,100,0
42,flights_html/gotogate-0094.html,100,100,100,100,100,100,100,100
42,flights_html/gotogate-1388.html,100,100,100,100,100,100,100,100
42,flights_html/tripadvisor-1991.html,100,100,100,100,100,100,100,100
42,flights_html/tripadvisor-0059.html,100,100,100,100,100,100,100,100
42,flights_html/gotogate-2206.html,100,100,100,100,100,100,100,100
42,flights_html/gotogate-0821.html,100,100,100,100,100,100,100,100
42,flights_html/kayak-1471.html,100,100,100,100,100,100,100,100
42,flights_html/gotogate-1427.html,100,100,100,100,100,100,100,100
42,flights_html/kayak-1681.html,100,100,100,100,100,100,100,100
42,flights_html/gotogate-2157.html,100,100,100,100,100,100,100,100
42,flights_html/tripadvisor-0606.html,100,100,100,100,100,100,100,100
42,flights_html/cheapair-1344.html,100,100,100,100,100,100,100,100
