seed,file,name_presence,location_presence,price_presence,rating_presence,amenities_presence,all5_presence
44,hotels_html/hotel-1223.html,100,0,100,100,100,0
44,hotels_html/kayak-1817.html,100,100,100,100,100,100
44,hotels_html/agoda-1303.html,100,100,0,100,100,0
44,hotels_html/agoda-1590.html,100,100,0,100,100,0
44,hotels_html/trip-0505.html,100,100,100,100,100,100
44,hotels_html/agoda-0398.html,100,100,0,100,100,0
44,hotels_html/booking-0570.html,100,100,0,100,100,0
44,hotels_html/agoda-1127.html,100,100,0,100,100,0
44,hotels_html/booking-1773.html,100,100,0,100,100,0
44,hotels_html/kayak-0061.html,100,100,100,100,100,100
44,hotels_html/booking-1134.html,100,100,0,100,100,0
44,hotels_html/agoda-0205.html,100,100,0,100,100,0
44,hotels_html/agoda-1613.html,100,100,0,100,100,0
44,hotels_html/trip-0959.html,100,100,100,100,100,100
44,hotels_html/agoda-1685.html,100,100,0,100,100,0
44,hotels_html/trip-1437.html,100,100,100,100,100,100
44,hotels_html/agoda-0404.html,100,100,100,100,100,100
44,hotels_html/booking-1679.html,100,100,0,100,100,0
44,hotels_html/kayak-1267.html,100,100,0,100,100,0
44,hotels_html/trip-2055.html,100,100,100,100,100,100
44,hotels_html/hotel-1827.html,100,100,100,0,100,0
44,hotels_html/booking-1368.html,100,100,0,100,100,0
44,hotels_html/hotel-1202.html,100,100,100,100,100,100
44,hotels_html/booking-0542.html,100,100,0,100,100,0
44,hotels_html/kayak-0333.html,100,100,0,100,100,0
44,hotels_html/trip-1416.html,100,100,100,100,100,100
44,hotels_html/kayak-1070.html,100,100,0,100,100,0
44,hotels_html/agoda-1897.html,100,100,100,100,100,100
44,hotels_html/kayak-0581.html,100,100,100,100,100,100
44,hotels_html/agoda-0725.html,100,100,100,100,100,100
44,hotels_html/booking-0691.html,100,100,0,100,100,0
44,hotels_html/booking-1190.html,100,100,0,100,100,0
44,hotels_html/kayak-0139.html,100,100,100,100,100,100
44,hotels_html/hotel-0152.html,100,100,100,100,100,100
44,hotels_html/hotel-0323.html,100,100,100,100,100,100
44,hotels_html/hotel-1217.html,100,100,100,100,100,100
44,hotels_html/trip-0642.html,100,100,100,100,100,100
44,hotels_html/hotel-0452.html,100,100,100,100,100,100
44,hotels_html/booking-0000.html,100,100,0,100,100,0
44,hotels_html/agoda-0116.html,100,100,100,100,100,100
44,hotels_html/trip-1070.html,100,100,0,100,100,0
44,hotels_html/kayak-1641.html,100,100,0,100,100,0
44,hotels_html/booking-1729.html,100,100,0,100,100,0
44,hotels_html/kayak-1222.html,100,100,100,100,100,100
44,hotels_html/agoda-1973.html,100,100,0,100,100,0
44,hotels_html/kayak-1861.html,100,100,0,100,100,0
44,hotels_html/agoda-0921.html,100,100,0,100,100,0
44,hotels_html/booking-1645.html,100,100,0,100,100,0
44,hotels_html/hotel-1623.html,100,100,100,100,100,100
44,hotels_html/kayak-0563.html,100,100,0,100,100,0
44,hotels_html/kayak-0093.html,100,100,0,100,100,0
44,hotels_html/kayak-1054.html,100,100,0,100,100,0
44,hotels_html/trip-0930.html,100,100,100,100,100,100
44,hotels_html/trip-2030.html,100,100,100,100,100,100
44,hotels_html/trip-1630.html,100,100,100,100,100,100
44,hotels_html/kayak-0921.html,100,100,0,100,100,0
44,hotels_html/trip-0724.html,100,100,100,100,100,100
44,hotels_html/booking-1299.html,100,100,0,100,100,0
44,hotels_html/agoda-1502.html,100,100,100,100,100,100
44,hotels_html/hotel-1180.html,100,100,100,0,100,0
44,hotels_html/kayak-0939.html,100,100,100,100,100,100
44,hotels_html/booking-1751.html,100,100,0,100,100,0
44,hotels_html/hotel-0467.html,100,100,100,100,100,100
44,hotels_html/booking-0576.html,100,100,0,100,100,0
44,hotels_html/hotel-0445.html,100,100,100,100,100,100
44,hotels_html/hotel-0244.html,100,100,0,100,100,0
44,hotels_html/kayak-1672.html,100,100,100,100,100,100
44,hotels_html/agoda-0842.html,100,100,0,100,100,0
44,hotels_html/agoda-0135.html,100,100,0,100,100,0
44,hotels_html/kayak-1931.html,100,100,0,100,100,0
44,hotels_html/booking-0022.html,100,100,0,100,100,0
44,hotels_html/hotel-1017.html,100,100,100,100,100,100
44,hotels_html/agoda-0064.html,100,100,0,100,100,0
44,hotels_html/kayak-0026.html,100,100,0,100,100,0
44,hotels_html/agoda-1741.html,100,100,100,100,100,100
44,hotels_html/hotel-1698.html,100,100,100,100,100,100
44,hotels_html/booking-0975.html,100,100,0,100,100,0
44,hotels_html/agoda-1116.html,100,100,100,100,100,100
44,hotels_html/kayak-0997.html,100,100,0,100,100,0
44,hotels_html/hotel-1980.html,100,100,100,100,100,100
44,hotels_html/kayak-0860.html,100,100,0,100,100,0
44,hotels_html/hotel-1768.html,100,100,0,100,100,0
44,hotels_html/hotel-0206.html,100,100,100,100,100,100
44,hotels_html/kayak-1687.html,100,100,0,100,100,0
44,hotels_html/trip-0481.html,100,100,100,100,100,100
44,hotels_html/kayak-0294.html,100,100,0,100,100,0
44,hotels_html/kayak-0720.html,100,100,0,100,100,0
44,hotels_html/trip-1594.html,100,100,100,100,100,100
44,hotels_html/booking-1394.html,100,100,0,100,100,0
44,hotels_html/kayak-1151.html,100,100,0,100,100,0
44,hotels_html/kayak-1122.html,100,100,0,100,100,0
44,hotels_html/agoda-1293.html,100,100,0,100,100,0
44,hotels_html/agoda-0242.html,100,100,100,100,100,100
44,hotels_html/booking-0289.html,100,100,0,100,100,0
44,hotels_html/kayak-0658.html,100,100,0,100,100,0
44,hotels_html/booking-1085.html,100,100,0,100,100,0
44,hotels_html/trip-0648.html,100,100,100,100,100,100
44,hotels_html/booking-0949.html,100,100,0,100,100,0
44,hotels_html/kayak-1876.html,100,0,100,100,0,0
44,hotels_html/agoda-0001.html,100,100,0,100,100,0
44,hotels_html/hotel-1197.html,100,100,100,100,100,100
44,hotels_html/agoda-0282.html,100,100,100,100,100,100
44,hotels_html/booking-0940.html,100,100,0,100,100,0
44,hotels_html/booking-0453.html,100,100,0,100,100,0
44,hotels_html/hotel-0537.html,100,100,100,100,100,100
44,hotels_html/hotel-1598.html,100,100,100,0,100,0
44,hotels_html/trip-1172.html,100,100,100,100,100,100
44,hotels_html/agoda-0322.html,100,100,0,100,100,0
44,hotels_html/hotel-1791.html,100,100,100,100,100,100
44,hotels_html/trip-0584.html,100,100,100,100,100,100
44,hotels_html/hotel-1695.html,100,100,100,100,100,100
44,hotels_html/hotel-1205.html,100,100,100,100,100,100
44,hotels_html/hotel-1640.html,100,100,100,100,100,100
